华汇康城  | 2室2厅 | 82.7平米 | 南 北 | 简装 | 有电梯,低楼层(共8层)2009年建板塔结合  -  麒麟镇,173万单价20919元/平米,https://nj.lianjia.com/xiaoqu/2511052540312/
城开家园  | 4室2厅 | 150.79平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2004年建板塔结合  -  月牙湖,520万单价34486元/平米,https://nj.lianjia.com/xiaoqu/1411046467998/
晏公庙西村  | 3室1厅 | 73.83平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1988年建板塔结合  -  孝陵卫,210万单价28444元/平米,https://nj.lianjia.com/xiaoqu/1411047236127/
武夷绿洲观竹苑  | 2室2厅 | 99.15平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)2007年建板楼  -  科学园,258万单价26022元/平米,https://nj.lianjia.com/xiaoqu/2511051341161/
江滨新寓  | 2室1厅 | 57.59平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1995年建板楼  -  草场门大街,195万单价33861元/平米,https://nj.lianjia.com/xiaoqu/1411000000340/
罗汉巷  | 2室1厅 | 76.35平米 | 南 | 精装 | 无电梯,低楼层(共7层)1996年建板楼  -  孝陵卫,270万单价35364元/平米,https://nj.lianjia.com/xiaoqu/1411047236118/
金陵新五村  | 3室1厅 | 76.91平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)1995年建板楼  -  金陵小区,178万单价23144元/平米,https://nj.lianjia.com/xiaoqu/1411063931859/
东郊小镇第三街区  | 3室2厅 | 103.35平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2008年建板塔结合  -  麒麟镇,192万单价18578元/平米,https://nj.lianjia.com/xiaoqu/2511053023753/
晔园  | 2室1厅 | 69.2平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2000年建板塔结合  -  南苑,228万单价32948元/平米,https://nj.lianjia.com/xiaoqu/1411000000516/
锁金一村  | 2室2厅 | 92.16平米 | 南 北 | 简装 | 有电梯,高楼层(共16层)1984年建板塔结合  -  锁金村,260万单价28212元/平米,https://nj.lianjia.com/xiaoqu/1411046917371/
胜利村100号  | 2室1厅 | 48.03平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1997年建板楼  -  卫岗,196万单价40808元/平米,https://nj.lianjia.com/xiaoqu/1411047737337/
东郊小镇第三街区  | 3室2厅 | 103.24平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2008年建板塔结合  -  麒麟镇,203万单价19663元/平米,https://nj.lianjia.com/xiaoqu/2511053023753/
海润枫景家园  | 2室2厅 | 83.82平米 | 南 | 精装 | 无电梯,低楼层(共6层)2007年建板楼  -  泰山街道,168万单价20043元/平米,https://nj.lianjia.com/xiaoqu/2511052829511/
亚都天元居  | 4室2厅 | 125.63平米 | 南 北 | 精装 | 有电梯,高楼层(共11层)2007年建板楼  -  百家湖,385万单价30646元/平米,https://nj.lianjia.com/xiaoqu/1411049844392/
市人防宿舍  | 3室2厅 | 66.35平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)1986年建板楼  -  凤凰西街,198万单价29842元/平米,https://nj.lianjia.com/xiaoqu/1411000000600/
武夷绿洲赏桂苑  | 3室2厅 | 125.1平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2005年建板楼  -  科学园,326万单价26060元/平米,https://nj.lianjia.com/xiaoqu/1411099492827/
鸿意星城  | 3室1厅 | 109.54平米 | 东 南 | 精装 | 有电梯,低楼层(共10层)2007年建板楼  -  月牙湖,352万单价32135元/平米,https://nj.lianjia.com/xiaoqu/1411046510042/
天泰北区  | 3室1厅 | 85.7平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2002年建板楼  -  东山镇,227万单价26488元/平米,https://nj.lianjia.com/xiaoqu/2511051889688/
翠屏国际广场苑  | 4室2厅 | 155.86平米 | 南 北 | 精装 | 有电梯,高楼层(共11层)2006年建板楼  -  将军大道,410万单价26306元/平米,https://nj.lianjia.com/xiaoqu/1411049115648/
岗虹苑  | 1室1厅 | 41.26平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)2000年建板楼  -  秦虹,113万单价27388元/平米,https://nj.lianjia.com/xiaoqu/1411047088987/
瑞金路二号四号小区  | 2室1厅 | 62.94平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)1986年建板楼  -  瑞金路,228万单价36225元/平米,https://nj.lianjia.com/xiaoqu/1411044648918/
银达雅居  | 4室2厅 | 207.33平米 | 南 北 | 精装 | 有电梯,高楼层(共16层)2000年建塔楼  -  升州路,680万单价32798元/平米,https://nj.lianjia.com/xiaoqu/1411000000800/
凤凰西街  | 5室2厅 | 205.61平米 | 东 南 北 | 精装 | 无电梯,高楼层(共6层)2001年建板楼  -  凤凰西街,550万单价26750元/平米,https://nj.lianjia.com/xiaoqu/1411000000163/
鸿仁名居  | 2室2厅 | 96.32平米 | 南 北 | 简装 | 有电梯,中楼层(共19层)2004年建塔楼  -  应天西路,350万单价36338元/平米,https://nj.lianjia.com/xiaoqu/1411041184033/
滨江奥城观澜苑  | 3室2厅 | 151.81平米 | 南 北 | 其他 | 有电梯,高楼层(共19层)2008年建板楼  -  奥体,600万单价39524元/平米,https://nj.lianjia.com/xiaoqu/1411000000022/
月苑五村  | 2室2厅 | 85.28平米 | 南 | 精装 | 无电梯,低楼层(共6层)2009年建板塔结合  -  月苑,260万单价30488元/平米,https://nj.lianjia.com/xiaoqu/1411063692891/
龙悦山庄  | 3室1厅 | 83.18平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2003年建板楼  -  樱驼花园,282万单价33903元/平米,https://nj.lianjia.com/xiaoqu/2511053746000/
康居里  | 2室1厅 | 60.21平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1996年建板楼  -  秦虹,161万单价26740元/平米,https://nj.lianjia.com/xiaoqu/1411046917756/
雨花新村二村  | 2室1厅 | 69.17平米 | 南 | 简装 | 无电梯,中楼层(共7层)1983年建板楼  -  雨花新村,175万单价25300元/平米,https://nj.lianjia.com/xiaoqu/2511052419946/
弓箭坊小区  | 3室1厅 | 91.01平米 | 南 北 | 简装 | 有电梯,高楼层(共30层)1999年建塔楼  -  来凤里,255万单价28019元/平米,https://nj.lianjia.com/xiaoqu/1411041184255/
丁家桥1-37号  | 3室1厅 | 72.36平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1990年建板楼  -  湖南路,220万单价30404元/平米,https://nj.lianjia.com/xiaoqu/1411043315841/
百家湖西花园伦敦城  | 2室2厅 | 105.85平米 | 南 | 精装 | 有电梯,中楼层(共18层)2006年建板塔结合  -  百家湖,275万单价25981元/平米,https://nj.lianjia.com/xiaoqu/1411049712745/
万科金色里程  | 2室1厅 | 68.5平米 | 南 | 其他 | 有电梯,低楼层(共9层)2010年建板塔结合  -  铁心桥,235万单价34307元/平米,https://nj.lianjia.com/xiaoqu/1411043513596/
来凤新村  | 2室1厅 | 50.37平米 | 东 西 | 简装 | 无电梯,中楼层(共6层)1985年建板楼  -  来凤里,152万单价30177元/平米,https://nj.lianjia.com/xiaoqu/1411044556201/
文体西村  | 2室1厅 | 53.47平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1985年建板塔结合  -  南湖,156万单价29176元/平米,https://nj.lianjia.com/xiaoqu/1411000000707/
来凤里  | 2室1厅 | 56.5平米 | 南 北 | 精装 | 无电梯,中楼层(共9层)1997年建板楼  -  来凤里,160万单价28319元/平米,https://nj.lianjia.com/xiaoqu/1411041500069/
万科金色里程  | 2室1厅 | 68.5平米 | 南 | 精装 | 有电梯,低楼层(共9层)2010年建板塔结合  -  铁心桥,235万单价34307元/平米,https://nj.lianjia.com/xiaoqu/1411043513596/
明发滨江新城一期  | 2室2厅 | 88.68平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2005年建塔楼  -  桥北,210万单价23681元/平米,https://nj.lianjia.com/xiaoqu/2511053258699/
锦绣花园丹桂园  | 3室2厅 | 116.82平米 | 南 北 | 精装 | 无电梯,中楼层(共6层)2002年建板楼  -  麒麟镇,230万单价19689元/平米,https://nj.lianjia.com/xiaoqu/2511052316928/
观城  | 2室1厅 | 79.14平米 | 南 | 精装 | 有电梯,中楼层(共31层)2009年建塔楼  -  升州路,322万单价40688元/平米,https://nj.lianjia.com/xiaoqu/1411000000194/
云谷山庄  | 3室1厅 | 82.69平米 | 南 北 | 简装 | 有电梯,低楼层(共10层)2012年建板塔结合  -  五塘广场,275万单价33257元/平米,https://nj.lianjia.com/xiaoqu/2511054044622/
后标营35号  | 3室1厅 | 77.76平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)1983年建板塔结合  -  瑞金路,220万单价28293元/平米,https://nj.lianjia.com/xiaoqu/1411684312002330/
金川门小区  | 2室1厅 | 53.95平米 | 南 北 | 简装 | 有电梯,中楼层(共7层)2001年建板楼  -  福建路,155万单价28731元/平米,https://nj.lianjia.com/xiaoqu/1411047352351/
娃娃桥  | 2室1厅 | 51.9平米 | 东 西 | 简装 | 无电梯,中楼层(共6层)1986年建板楼  -  新街口,230万单价44316元/平米,https://nj.lianjia.com/xiaoqu/1411042669209/
拓园  | 3室1厅 | 75.33平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1996年建板楼  -  茶南,198万单价26285元/平米,https://nj.lianjia.com/xiaoqu/1411000000670/
双龙苑  | 3室2厅 | 88.45平米 | 南 | 精装 | 无电梯,高楼层(共6层)2009年建板楼  -  百家湖,292万单价33014元/平米,https://nj.lianjia.com/xiaoqu/2511051184934/
汇景新苑  | 3室2厅 | 102.81平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)2004年建板楼  -  东山镇,260万单价25290元/平米,https://nj.lianjia.com/xiaoqu/2511051405730/
华汇康城  | 2室2厅 | 82.7平米 | 南 北 | 简装 | 有电梯,低楼层(共8层)2009年建板塔结合  -  麒麟镇,173万单价20919元/平米,https://nj.lianjia.com/xiaoqu/2511052540312/
城开家园  | 4室2厅 | 150.79平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2004年建板塔结合  -  月牙湖,520万单价34486元/平米,https://nj.lianjia.com/xiaoqu/1411046467998/
晏公庙西村  | 3室1厅 | 73.83平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1988年建板塔结合  -  孝陵卫,210万单价28444元/平米,https://nj.lianjia.com/xiaoqu/1411047236127/
月苑五村  | 2室2厅 | 85.28平米 | 南 | 精装 | 无电梯,低楼层(共6层)2009年建板塔结合  -  月苑,260万单价30488元/平米,https://nj.lianjia.com/xiaoqu/1411063692891/
龙悦山庄  | 3室1厅 | 83.18平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2003年建板楼  -  樱驼花园,282万单价33903元/平米,https://nj.lianjia.com/xiaoqu/2511053746000/
康居里  | 2室1厅 | 60.21平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1996年建板楼  -  秦虹,161万单价26740元/平米,https://nj.lianjia.com/xiaoqu/1411046917756/
雨花新村二村  | 2室1厅 | 69.17平米 | 南 | 简装 | 无电梯,中楼层(共7层)1983年建板楼  -  雨花新村,175万单价25300元/平米,https://nj.lianjia.com/xiaoqu/2511052419946/
弓箭坊小区  | 3室1厅 | 91.01平米 | 南 北 | 简装 | 有电梯,高楼层(共30层)1999年建塔楼  -  来凤里,255万单价28019元/平米,https://nj.lianjia.com/xiaoqu/1411041184255/
丁家桥1-37号  | 3室1厅 | 72.36平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1990年建板楼  -  湖南路,220万单价30404元/平米,https://nj.lianjia.com/xiaoqu/1411043315841/
百家湖西花园伦敦城  | 2室2厅 | 105.85平米 | 南 | 精装 | 有电梯,中楼层(共18层)2006年建板塔结合  -  百家湖,275万单价25981元/平米,https://nj.lianjia.com/xiaoqu/1411049712745/
万科金色里程  | 2室1厅 | 68.5平米 | 南 | 其他 | 有电梯,低楼层(共9层)2010年建板塔结合  -  铁心桥,235万单价34307元/平米,https://nj.lianjia.com/xiaoqu/1411043513596/
来凤新村  | 2室1厅 | 50.37平米 | 东 西 | 简装 | 无电梯,中楼层(共6层)1985年建板楼  -  来凤里,152万单价30177元/平米,https://nj.lianjia.com/xiaoqu/1411044556201/
文体西村  | 2室1厅 | 53.47平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1985年建板塔结合  -  南湖,156万单价29176元/平米,https://nj.lianjia.com/xiaoqu/1411000000707/
来凤里  | 2室1厅 | 56.5平米 | 南 北 | 精装 | 无电梯,中楼层(共9层)1997年建板楼  -  来凤里,160万单价28319元/平米,https://nj.lianjia.com/xiaoqu/1411041500069/
万科金色里程  | 2室1厅 | 68.5平米 | 南 | 精装 | 有电梯,低楼层(共9层)2010年建板塔结合  -  铁心桥,235万单价34307元/平米,https://nj.lianjia.com/xiaoqu/1411043513596/
明发滨江新城一期  | 2室2厅 | 88.68平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2005年建塔楼  -  桥北,210万单价23681元/平米,https://nj.lianjia.com/xiaoqu/2511053258699/
常府街  | 2室1厅 | 60.63平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)1996年建板楼  -  常府街,198万单价32658元/平米,https://nj.lianjia.com/xiaoqu/1411000000060/
天泰青城苑  | 1室1厅 | 43.68平米 | 东 | 其他 | 有电梯,高楼层(共32层)2012年建板楼  -  将军大道,123万单价28160元/平米,https://nj.lianjia.com/xiaoqu/1411051509703/
天鹅湖花园  | 3室2厅 | 111.52平米 | 南 北 | 简装 | 无电梯,高楼层(共5层)2009年建板塔结合  -  东山镇,305万单价27350元/平米,https://nj.lianjia.com/xiaoqu/2511051777613/
水佐岗  | 2室2厅 | 87.58平米 | 南 | 精装 | 无电梯,中楼层(共7层)1996年建板楼  -  水佐岗,320万单价36539元/平米,https://nj.lianjia.com/xiaoqu/1411000000625/
碧水湾花园  | 2室1厅 | 80.9平米 | 南 | 精装 | 无电梯,高楼层(共6层)2002年建板楼  -  岔路口,192万单价23734元/平米,https://nj.lianjia.com/xiaoqu/1411064148219/
豆腐坊  | 2室1厅 | 47.09平米 | 南 | 简装 | 无电梯,高楼层(共6层)1988年建板楼  -  来凤里,136万单价28881元/平米,https://nj.lianjia.com/xiaoqu/1411043354194/
兴贤佳园修贤苑  | 2室1厅 | 68.88平米 | 南 | 简装 | 有电梯,中楼层(共18层)2006年建板楼  -  迈皋桥,155万单价22503元/平米,https://nj.lianjia.com/xiaoqu/2511053355679/
天泰青城苑  | 1室1厅 | 43.68平米 | 东 | 其他 | 有电梯,高楼层(共32层)2012年建板楼  -  将军大道,123万单价28160元/平米,https://nj.lianjia.com/xiaoqu/1411051509703/
碧水湾花园  | 2室1厅 | 80.9平米 | 南 | 精装 | 无电梯,高楼层(共6层)2002年建板楼  -  岔路口,192万单价23734元/平米,https://nj.lianjia.com/xiaoqu/1411064148219/
火瓦巷  | 2室1厅 | 54.23平米 | 西南 北 | 简装 | 无电梯,高楼层(共6层)1989年建板楼  -  新街口,220万单价40568元/平米,https://nj.lianjia.com/xiaoqu/1411000000292/
罗汉巷  | 2室1厅 | 76.35平米 | 南 | 精装 | 无电梯,低楼层(共7层)1996年建板楼  -  孝陵卫,270万单价35364元/平米,https://nj.lianjia.com/xiaoqu/1411047236118/
金陵新五村  | 3室1厅 | 76.91平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)1995年建板楼  -  金陵小区,178万单价23144元/平米,https://nj.lianjia.com/xiaoqu/1411063931859/
东郊小镇第三街区  | 3室2厅 | 103.35平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2008年建板塔结合  -  麒麟镇,192万单价18578元/平米,https://nj.lianjia.com/xiaoqu/2511053023753/
晔园  | 2室1厅 | 69.2平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2000年建板塔结合  -  南苑,228万单价32948元/平米,https://nj.lianjia.com/xiaoqu/1411000000516/
南航东苑  | 3室2厅 | 131.2平米 | 南 | 简装 | 无电梯,高楼层(共6层)1999年建板楼  -  瑞金路,518万单价39482元/平米,https://nj.lianjia.com/xiaoqu/1412287378468984/
湖滨公寓  | 3室2厅 | 120.2平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)2000年建板楼  -  百家湖,310万单价25791元/平米,https://nj.lianjia.com/xiaoqu/2511051408048/
市政天元城  | 2室2厅 | 92.51平米 | 南 | 简装 | 无电梯,高楼层(共6层)2004年建板楼  -  东山镇,255万单价27565元/平米,https://nj.lianjia.com/xiaoqu/2511050946111/
长虹路203号  | 3室1厅 | 65.64平米 | 南 | 简装 | 无电梯,低楼层(共7层)1994年建板楼  -  南湖,195万单价29708元/平米,https://nj.lianjia.com/xiaoqu/1411041183926/
能仁里二村  | 2室2厅 | 83.5平米 | 南 北 | 精装 | 有电梯,高楼层(共7层)1996年建板楼  -  雨花新村,215万单价25749元/平米,https://nj.lianjia.com/xiaoqu/147286166401421/
大华锦绣华城桂美颂  | 2室2厅 | 92.46平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)2005年建板楼  -  桥北,205万单价22172元/平米,https://nj.lianjia.com/xiaoqu/2511052747753/
市人防宿舍  | 2室1厅 | 65.45平米 | 南 | 精装 | 无电梯,中楼层(共6层)1986年建板楼  -  凤凰西街,197万单价30100元/平米,https://nj.lianjia.com/xiaoqu/1411000000600/
太平桥南  | 2室1厅 | 57.51平米 | 东南 | 精装 | 无电梯,高楼层(共6层)1991年建板塔结合  -  长江路,175万单价30430元/平米,https://nj.lianjia.com/xiaoqu/1411000000655/
双桥新村  | 4室1厅 | 96.2平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)2004年建板楼  -  洪家园,265万单价27547元/平米,https://nj.lianjia.com/xiaoqu/1411047653144/
金贸新村  | 2室1厅 | 78.95平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)1998年建板楼  -  南湖,240万单价30399元/平米,https://nj.lianjia.com/xiaoqu/1411000000852/
滨江瑞景家园  | 3室2厅 | 139.5平米 | 南 | 精装 | 有电梯,低楼层(共18层)2010年建板楼  -  凤凰西街,780万单价55914元/平米,https://nj.lianjia.com/xiaoqu/1411000000030/
墨香山庄  | 3室2厅 | 126.56平米 | 南 北 | 其他 | 有电梯,中楼层(共11层)2004年建板楼  -  月苑,380万单价30026元/平米,https://nj.lianjia.com/xiaoqu/1411046917351/
华保新寓  | 2室2厅 | 67.7平米 | 南 | 精装 | 有电梯,中楼层(共16层)1998年建板楼  -  草场门大街,262万单价38701元/平米,https://nj.lianjia.com/xiaoqu/1411000000229/
天悦花园  | 2室1厅 | 64.68平米 | 南 | 精装 | 无电梯,高楼层(共6层)2003年建板楼  -  马群,186万单价28757元/平米,https://nj.lianjia.com/xiaoqu/1411058127070/
锦绣花园丹桂园  | 3室2厅 | 116.82平米 | 南 北 | 精装 | 无电梯,中楼层(共6层)2002年建板楼  -  麒麟镇,230万单价19689元/平米,https://nj.lianjia.com/xiaoqu/2511052316928/
金城花园  | 3室2厅 | 96.49平米 | 南 北 | 其他 | 无电梯,中楼层(共7层)2001年建板楼  -  挹江门,310万单价32128元/平米,https://nj.lianjia.com/xiaoqu/1411046921028/
江佑铂庭  | 3室2厅 | 118.27平米 | 南 | 精装 | 有电梯,中楼层(共18层)2012年建板楼  -  江浦街道,325万单价27480元/平米,https://nj.lianjia.com/xiaoqu/2511053656490/
蓝岸尚城  | 2室2厅 | 49.56平米 | 南 | 精装 | 有电梯,高楼层(共12层)2008年建板塔结合  -  铁心桥,185万单价37329元/平米,https://nj.lianjia.com/xiaoqu/1411046918083/
东井村3号  | 3室1厅 | 73.33平米 | 南 北 | 精装 | 有电梯,低楼层(共7层)1986年建板楼  -  小市,238万单价32457元/平米,https://nj.lianjia.com/xiaoqu/2511053749785/
天地新城天一座  | 2室2厅 | 87.05平米 | 南 北 | 其他 | 有电梯,低楼层(共11层)2006年建板塔结合  -  岔路口,225万单价25848元/平米,https://nj.lianjia.com/xiaoqu/1412024341607146/
东郊小镇第一街区  | 3室2厅 | 59.86平米 | 东 北 | 简装 | 有电梯,高楼层(共7层)2006年建板塔结合  -  麒麟镇,156万单价26061元/平米,https://nj.lianjia.com/xiaoqu/1411100805511/
话园  | 2室2厅 | 62.82平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)1994年建板楼  -  南苑,175万单价27858元/平米,https://nj.lianjia.com/xiaoqu/1411000000307/
时光澔韵  | 3室2厅 | 115.11平米 | 南 北 | 其他 | 有电梯,中楼层(共11层)2007年建板楼  -  小行,385万单价33447元/平米,https://nj.lianjia.com/xiaoqu/1411042942570/
康美里  | 2室1厅 | 60.03平米 | 南 北 | 毛坯 | 无电梯,中楼层(共7层)2000年建板楼  -  洪家园,158万单价26321元/平米,https://nj.lianjia.com/xiaoqu/1411047049126/
颐和南园  | 3室3厅 | 262.1平米 | 南 北 | 毛坯 | 有电梯,高楼层(共20层)2015年建塔楼  -  九龙湖,650万单价24800元/平米,https://nj.lianjia.com/xiaoqu/2511052366794/
高尔夫国际花园  | 4室2厅 | 180.8平米 | 南 北 | 其他 | 有电梯,高楼层(共11层)2014年建板塔结合  -  百家湖,399万单价22069元/平米,https://nj.lianjia.com/xiaoqu/1411041480668/
颐和南园  | 5室3厅 | 277.35平米 | 南 北 | 毛坯 | 无电梯,低楼层(共3层)2007年建板楼  -  九龙湖,938万单价33821元/平米,https://nj.lianjia.com/xiaoqu/2511052366794/
晔园  | 3室2厅 | 64.28平米 | 南 北 | 其他 | 有电梯,高楼层(共7层)1998年建板楼  -  南苑,210万单价32670元/平米,https://nj.lianjia.com/xiaoqu/1411000000516/
香山美墅  | 4室2厅 | 112.25平米 | 南 北 | 精装 | 无电梯,中楼层(共5层)2009年建板楼  -  将军大道,380万单价33854元/平米,https://nj.lianjia.com/xiaoqu/1411041189799/
颐和南园   | 双拼别墅 | 4室2厅 | 197.04平米 | 南 北 | 其他 | 无电梯,1层2007年建暂无数据  -  九龙湖,680万单价34511元/平米,https://nj.lianjia.com/xiaoqu/2511052366794/
海德卫城  | 4室2厅 | 164.14平米 | 南 北 | 毛坯 | 有电梯,低楼层(共28层)2006年建板塔结合  -  草场门大街,668万单价40697元/平米,https://nj.lianjia.com/xiaoqu/1411000000234/
汇杰文庭  | 4室2厅 | 228.51平米 | 南 北 | 毛坯 | 无电梯,低楼层(共1层)2007年建板楼  -  仙林,720万单价31509元/平米,https://nj.lianjia.com/xiaoqu/1411063707277/
小火瓦巷  | 3室1厅 | 62.88平米 | 南 | 简装 | 无电梯,高楼层(共6层)1991年建板楼  -  新街口,315万单价50096元/平米,https://nj.lianjia.com/xiaoqu/1411000000737/
东郊小镇第二街区  | 4室3厅 | 149.22平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2007年建板塔结合  -  麒麟镇,225万单价15079元/平米,https://nj.lianjia.com/xiaoqu/2511053013097/
中航樾府   | 叠拼别墅 | 5室2厅 | 159.45平米 | 南 北 | 其他 | 无电梯,上叠(共4层)2014年建暂无数据  -  百家湖,650万单价40766元/平米,https://nj.lianjia.com/xiaoqu/1411050646977/
东郊小镇第二街区  | 3室2厅 | 90.89平米 | 南 | 精装 | 无电梯,高楼层(共6层)2007年建板塔结合  -  麒麟镇,192万单价21125元/平米,https://nj.lianjia.com/xiaoqu/2511053013097/
天润城第十二街区  | 2室2厅 | 77.96平米 | 南 | 精装 | 有电梯,中楼层(共18层)2012年建板塔结合  -  桥北,183万单价23474元/平米,https://nj.lianjia.com/xiaoqu/1411099898926/
金珠花苑  | 3室2厅 | 131.29平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2002年建板楼  -  江浦街道,282万单价21480元/平米,https://nj.lianjia.com/xiaoqu/2511053588888/
名嘉佳园小区  | 2室2厅 | 102.78平米 | 南 北 | 简装 | 有电梯,低楼层(共11层)2006年建板楼  -  岔路口,270万单价26270元/平米,https://nj.lianjia.com/xiaoqu/2511053036467/
天润城第一街区  | 3室2厅 | 103.15平米 | 南 北 | 简装 | 有电梯,高楼层(共11层)2006年建板楼  -  桥北,230万单价22298元/平米,https://nj.lianjia.com/xiaoqu/1420021434146740/
华保新寓  | 2室1厅 | 68平米 | 南 | 简装 | 有电梯,高楼层(共16层)1998年建板楼  -  草场门大街,260万单价38236元/平米,https://nj.lianjia.com/xiaoqu/1411000000229/
彩虹苑  | 3室2厅 | 90.19平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)2000年建板楼  -  南湖,285万单价31600元/平米,https://nj.lianjia.com/xiaoqu/1411000000067/
大华锦绣华城桂美颂  | 4室2厅 | 130.72平米 | 东 南 北 | 精装 | 有电梯,中楼层(共11层)2008年建板楼  -  桥北,305万单价23333元/平米,https://nj.lianjia.com/xiaoqu/2511052747753/
中山南路  | 2室1厅 | 83.77平米 | 南 | 精装 | 无电梯,高楼层(共7层)1997年建板楼  -  长乐路,320万单价38200元/平米,https://nj.lianjia.com/xiaoqu/1411041800708/
后半山园4号  | 2室1厅 | 54.77平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1990年建板楼  -  后宰门,140万单价25562元/平米,https://nj.lianjia.com/xiaoqu/1411056455103/
樱铁村小区  | 2室1厅 | 51.81平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1992年建板楼  -  樱驼花园,135万单价26057元/平米,https://nj.lianjia.com/xiaoqu/1411046917364/
锦绣花园丹桂园  | 4室2厅 | 153.05平米 | 南 | 精装 | 无电梯,中楼层(共6层)2002年建板楼  -  麒麟镇,310万单价20255元/平米,https://nj.lianjia.com/xiaoqu/2511052316928/
天润城第十一街区  | 3室2厅 | 88.85平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2009年建板塔结合  -  桥北,210万单价23636元/平米,https://nj.lianjia.com/xiaoqu/1411099790708/
佛心桥  | 2室2厅 | 64.9平米 | 南 | 简装 | 无电梯,高楼层(共6层)1991年建板楼  -  后宰门,185万单价28506元/平米,https://nj.lianjia.com/xiaoqu/1411000000187/
威尼斯水城第七街区  | 2室1厅 | 90.86平米 | 南 | 精装 | 有电梯,中楼层(共11层)2010年建板楼  -  桥北,235万单价25864元/平米,https://nj.lianjia.com/xiaoqu/2511052766440/
馨怡园  | 2室2厅 | 92.97平米 | 南 北 | 精装 | 有电梯,中楼层(共17层)2007年建塔楼  -  迈皋桥,280万单价30118元/平米,https://nj.lianjia.com/xiaoqu/1411046918157/
东郊小镇第四街区  | 3室1厅 | 48.53平米 | 西南 | 精装 | 无电梯,中楼层(共7层)2009年建板楼  -  麒麟镇,135万单价27818元/平米,https://nj.lianjia.com/xiaoqu/2511053030010/
火瓦巷  | 2室1厅 | 54.23平米 | 西南 北 | 简装 | 无电梯,高楼层(共6层)1989年建板楼  -  新街口,220万单价40568元/平米,https://nj.lianjia.com/xiaoqu/1411000000292/
莫愁大厦  | 5室2厅 | 180.74平米 | 南 西 | 毛坯,高楼层(共24层)板楼  -  南湖,550万单价30431元/平米,https://nj.lianjia.com/xiaoqu/1411045201141/
同曦艺术家园  | 7室4厅 | 236平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)2005年建板塔结合  -  百家湖,500万单价21187元/平米,https://nj.lianjia.com/xiaoqu/2511051182690/
钟山晶典苑  | 3室2厅 | 108.73平米 | 南 北 | 简装 | 有电梯,中楼层(共16层)2010年建板塔结合  -  马群,306万单价28144元/平米,https://nj.lianjia.com/xiaoqu/1411048230056/
威尼斯水城第八街区  | 2室2厅 | 71.3平米 | 南 北 | 精装 | 无电梯,中楼层(共6层)2005年建板楼  -  桥北,180万单价25246元/平米,https://nj.lianjia.com/xiaoqu/2511052751682/
应天花园  | 2室1厅 | 57.95平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1999年建板楼  -  能仁里,162万单价27956元/平米,https://nj.lianjia.com/xiaoqu/1411000000854/
